user_id,item_list
0, 1447 25878  1560 13884 25075  2607  6919  1256  6548  4927
1,19089 23600 12409 19709 20095  3165 16630 19480  6198 12119
2,14353  5566  2824 19515  9950  5923  5451 25653 14275 19881
3,22487 12462 12473  9087 10689 20905  3942 11341 16857 25476
4, 9243  1611 11384 13427  9295  4927 20799 10000 14271 20577
5, 8097 16172 17819  7494  8322 12214  9301  8089  7013 19709
6,25044 24383 23906  4824 14020  3382 24801  5808 10745  1282
7,17332  4314 12181 13840  8499  3850  7646 11300  8104 14682
8,25407 15691 10834  6878  1583 23154  2426 13711 10594 14059
9,19792  5741 17092 25779 15782  3699  9609 10132 12375 16883
10, 3556 12906 18751 17557 23361 22923 11361 20168 13775  1302
11, 3220 22956  4661 21262  7856 16175 12951 15586 20876 16099
12,19291  2823  6235  5447  1592  8593 10380  2281 20211 24546
13,20969 25407 18331 23880 11924  1770  9992 11838 13293  3382
14, 3641 20644 18499 21541  5109   555 18500 25649  6263 18323
15,17130 12643 22817 24546  3722 25766  4025  5709  8702 21617
16,25585  7913  4502   921 17514  8400 21416 12684   886 19622
17, 9438 19089 17723  5942 25675 20146  2665 12061 12409 24402
18,18793  5032 20300 12048  7267 15778 18649  9769 13609  7448
19, 2426  9555 15691 23154 10834  6327  7095  1583 10981 10594
20, 8606  6893 23465 14132 15234  5925 25957 13616 15398 25446
21,18788 23778  3875 16803 24366 18901 12344  4224 13138  2646
22, 1668  6616  9487 17899 11597 17368 14583  9824 10005 23206
23,  988  6200 16496 11293 17836 16577  6454 23562 14835  9017
24,13797 19480 14291  8935  9025  4095 11179 11730  9069  9664
25, 7405  7115 12844 10640   983 12385   290 25674 16844 13792
26,23056   867 21975  9602 16245 19781 13707 18692 15463 10530
27,17820    57  5044 11706 21527 24484  8158 22270  6760  5562
28, 6551 21523  2233 13424  8742 23835  8673  9220  8678  1673
29,14684  5193 19874 24914  5765 16538  5078  7852 12356 25957
30, 8544 21552 24621 11384  3835  8409  9243 25662  2868 20109
31, 2001 13226 23651 19340 16793 13593 23468  6446  7363 23593
32,18574  9620  1573   290 10640 13868  7115   983 20656  5966
33,10269 25675  9438 17409  5942 12061  9851 22554 10786 23799
34, 1959  1803 19007 23324  9520  3966 19717  1700 23224 21671
35, 9620 11830  8914 14826  9352 11784 15325  5474  9782 12844
36,25407  2426 15691  1583  6734 16928 16906 23141 22848 17156
37,19480  1008  3620 10528  1639 24075  8439  3647 22404 19524
38, 1863 25846  8560  7266 21281 21062  6566 25501  4940 18196
39,23816  2220 24122  2178  7321  8991  1812  5497 16871 20820
40,24075 22554  5044 25407 16630  9438  8097 20095 20146 15691
41,17225 17322  9047 14023 19189 23810  6389  6599 14266 22100
42,20553 20321 18930  6612 16630 20544 18512 13870 13663  7494
43,12696   966  8256 23854  8366   552 15536  8818  4720 21499
44,17470  5093 25185 20520  7418 23324  8077 11576  8475  7836
45,19487 16948 19525 11658  2665 24128 25873 17723  6827 21049
46,23536 13541  4620 15459 18190 23711  6088 19114 12061  3983
47,19326  4032 18852  4738 21912  7993  6369 19281 16124  6954
48, 4781 13552 24985 13178 16893  5284 10626  4115 13433 13108
49,12585 25253  4302  5787 18549 23846  8904  9646 24746 23567
50, 2426  9555 10594  1583 10834  7991  6734 12818  7727 23141
51,24075 25675 10269 22554  5942 20022  9851 23799 10845 10848
52,13194 20199 22056 11449 25009  7223 23510  2919  8268 14767
53,17874 11115 22126 17697 10488  1273 21008 16790 11134 17339
54,25675  3803 19401  7202 19564 18293 20439 12923 15564 10786
55,15562 17635  2122 16197 18131 22816  4064 14009 14158 13842
56,11741 11987  5413  3668 10384  8277  6267  8543 13764 20933
57,25656 11378  2436 24791  6049  2390    75 23136 14409   636
58, 5930  1259   306 16577 11197 10524 10951  6047  6412   625
59, 8841  8531 23950 11223  9005  6544 19668  2846 10803 23042
60,13810 23975  5101  6096  3527 12454 25458   175  2237   762
61, 8826 14378  3646  8914 13710  1282 14372 17346  4390 24948
62,11527 10311 16394 12759  3775 12914 19150 12214 23895 24138
63, 8654 21051 13231  3456 13502  7940  5905 24797   557 25327
64,23741   388 24285 20458 14954 11605  8212  6865 15350  6206
65,16850 22140 18959  4682  1628  2182 11674 25255  1974  3840
66, 7650  2533 12061 16083  2097 20807 19480 19089 24075  8431
67, 9615 22057 19796  4203  9822   570 18574  5966 14565  4299
68,18190  2333  6088  5717  4620  3983 23711 11792 19114  9029
69,16993 14407  7583  2317 25932 13065 24637 24874 25769 16291
70, 4390  4588  8990 22121 25407 14356  6913  3812 10162 20969
71,17565 11064  5094 14684 17400  5075 24070 12331 17668  1621
72, 1863  2996 24075 21552 24340 19094  7266 22645  4940 25675
73, 4502 18419 19874  5185  6358 15915 11253 15147  3561   343
74, 1608  8152 14104 20837 22172  7152 23624  9520  3722 16481
75,20108 19910 11072  9339  8251 11730  8704 16471 22413  7639
76,17877 25407  2426 15691 10834  9555 25585  6146  9701 23154
77, 7117  1720   471    48 25387 10295 24075  4046 11323 10448
78,20431 15327  2868  5717 18190 19114 25030  9029 11521 19156
79,10269  9438 25675  5284 24985 12061   341  9851 22554  5942
80,21652 11064  1449 21517  1001 21783 21232  4257 11863  4093
81,24075 22554 12061  9851  5717 10786 25068 18719 20532  5942
82,10785 19502 23427 14915  1535  8311  5686  7471 21092 22524
83, 2426  9555 23154 10594 10834  9446 16928  1583  7727 17156
